"iddenormalize_budget","org_path","dep","org_clas","fund_cat","funding","previousy_actual","lasty_approved","lasty_amended","thisy_approved","thisy_amended","change_lastthis_amd"
458,"Manager","Utilities","Operations","Enterprise","Storm Drainage",29446144,34735448,32290924,32045821,31986074,-304850
422,"Manager","Public Works","Operations","Other","Traffic Safety",742510,769688,769688,930914,930914,161226
262,"Manager","General Services","Support","Enterprise","Wastewater",60483,23058,23058,27132,27132,4074
292,"Manager","Human Resources","Support","Enterprise","Wastewater",17625,17604,17604,17604,17604,0
459,"Manager","Utilities","Operations","Enterprise","Wastewater",17669818,17736975,17166203,22657993,22617947,5451744
27,"/","City Attorney","Admin","Enterprise","Water",188263,188263,188263,188263,188263,0
263,"Manager","General Services","Support","Enterprise","Water",189703,76031,76031,81308,81308,5277
293,"Manager","Human Resources","Support","Enterprise","Water",54719,54653,54653,54653,54653,0
460,"Manager","Utilities","Operations","Enterprise","Water",45849439,52835829,50956182,57657351,57736774,6780592
28,"/","City Attorney","Admin","Other","Water Planning",0,0,10000,10000,10000,0
206,"Manager","Finance","Support","Other","Water Planning",0,0,39000,39000,39000,0
461,"Manager","Utilities","Operations","Other","Water Planning",856383,2004380,1955380,0,0,-1955380
134,"Manager","Convention Culture & Leisure","Operations","Other","Zoo",37260,50000,50000,50000,50000,0
